Reference, Value, Footprint, Datasheet, Digikey, Part No, Field4, Field5, Field6, Field7, Field8, Field9, Field10, Field11
C2,22p,gearclock_fp:c_0805,,490-1734-1-ND,,,,,,,,,
C1,22p,gearclock_fp:c_0805,,490-1734-1-ND,,,,,,,,,
C6,1u,gearclock_fp:c_0805,
R4,750E,gearclock_fp:r_0805,
C4,100n,gearclock_fp:c_0805,
U3,3V3,gearclock_fp:SOT23-3,,,MCP1700T-3302E/TT,,,,,,,,
R2,10k,gearclock_fp:r_0805,
R3,10k,gearclock_fp:r_0805,
SW1,RST,gearclock_fp:Switch_SMT,,,,,,,,,,,
R1,10k,gearclock_fp:r_0805,
C3,100n,gearclock_fp:c_0805,
C7,1u,gearclock_fp:c_0805,
X1,8MHz,gearclock_fp:Xtal_SMD4,
P8,IO,gearclock_fp:IO,
P9,IO,gearclock_fp:IO,
P10,IO,gearclock_fp:IO,
SD1,SD_CARD_Micro,gearclock_fp:SD_Micro,
C8,47uF_25V,gearclock_fp:C_ELCO_SMD,
U2,Hall_Sensor,gearclock_fp:SOT23-3,
U1,ATMEGA328P,gearclock_fp:TQFP32,
C5,100n,gearclock_fp:c_0805,,,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
LED1,WS2812B,gearclock_fp:RGB_WS2811B,
B1,IO,gearclock_fp:IO,
C10,100n,gearclock_fp:c_0805,,,,CAP CER 0.1UF 25V 10% X7R 0805,100nF, 25V,Surface Mount, MLCC,Kemet,C0805C104K3RACTU,Digikey,399-1168-1-ND,http://www.digikey.com/product-detail/en/C0805C104K3RACTU/399-1168-1-ND/411443
P1,ISP,gearclock_fp:Header_ISP,
P2,FTDI,gearclock_fp:Header_FTDI,
P7,Motor_L,gearclock_fp:Pin_Header_Straight_1x08,
P6,Motor_R,gearclock_fp:Pin_Header_Straight_1x08,
P11,GPS,gearclock_fp:Pin_Header_Straight_1x09,
P5,Motor,gearclock_fp:Pin_Header_Straight_1x04,
P12,3V3_In,gearclock_fp:Pin_Header_Straight_1x02,
P13,WallW,gearclock_fp:BARREL_JACK,
P3,SW_EXT,gearclock_fp:Pin_Header_Straight_1x03,
U5,ADXL345,gearclock_fp:ADXL345,
C12,100nF,gearclock_fp:c_0805,,,,CAP FILM 0.1UF 63VDC RADIAL,100nF, 63V,R82,Kemet,R82DC3100AA50J,Digikey,399-5863-ND,http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C13,100nF,gearclock_fp:c_0805,,,,CAP FILM 0.1UF 63VDC RADIAL,100nF, 63V,R82,Kemet,R82DC3100AA50J,Digikey,399-5863-ND,http://www.digikey.com/product-detail/en/R82DC3100AA50J/399-5863-ND/2571298?cur=USD
C11,10uF,gearclock_fp:C_ELCO_SMD,,,,CAP ALUM 100UF 16V 20% RADIAL,100u,16V,Radial, Can, 6.3mm dia,Panasonic Electronic Components,ECE-A1CKA101,Digikey,P833-ND,http://www.digikey.com/product-detail/en/ECE-A1CKA101/P833-ND/44757?cur=USD
R10,10k,gearclock_fp:r_0805,
B4,IO,gearclock_fp:IO,
B3,IO,gearclock_fp:IO,
B2,IO,gearclock_fp:IO,
U4,DS3231N,gearclock_fp:DS3231,
C9,100n,gearclock_fp:c_0805,
BT1,Batt_RTC,gearclock_fp:CR2032,,BU2032SM-HD-GCT-ND ,,,,,,,,,
